Guest,SMILES,Guest_MW,Guest_LogP,Guest_TPSA,Guest_RotBonds,Guest_HBD,Guest_HBA,Guest_NPR1,Guest_NPR2,Guest_ASA,Guest_Vol,Guest_Rg
11DCE,C=C(Cl)Cl,96.94,1.935,0.0,0,0,0,0.293,0.707,37.83,70.13,1.514
CDCE,C(=C\Cl)\Cl,96.94,1.935,0.0,0,0,0,0.168,0.832,37.83,70.17,1.612
TCE,C(=C(Cl)Cl)Cl,131.39,2.502,0.0,0,0,0,0.285,0.715,46.73,85.43,1.899
dioxane,C1COCCO1,88.11,0.033,18.46,0,0,2,0.539,0.585,48.3,86.35,1.5
PFBA,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,1.904,37.3,2,1,2,0.641,0.876,67.44,126.44,2.077
PFPrS,C(C(F)(F)F)(C(F)(F)S(=O)(=O)O)(F)F,250.09,1.665,54.37,3,1,3,0.535,0.885,73.75,140.86,2.173
PFBS,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,300.1,2.3,54.37,4,1,3,0.366,0.943,88.44,167.23,2.497
PFOA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CF,378.08,3.852,37.3,7,1,2,0.397,0.854,120.7,222.42,2.85
PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,4.841,54.37,8,1,3,0.173,0.963,147.23,273.31,3.704
GenX,C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)O,330.05,3.106,46.53,4,1,3,0.296,0.93,101.95,188.74,2.868
Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,151.17,1.351,49.33,3,2,2,0.134,0.869,77.46,140.31,2.652
Atrazine,CCNC1=NC(=NC(=N1)Cl)NC(C)C,215.69,1.777,62.73,7,2,5,0.286,0.754,108.1,193.32,3.019
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,236.27,3.387,46.33,0,1,1,0.457,0.748,122.12,214.82,2.832
Diuron,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,233.1,3.087,32.34,3,1,1,0.159,0.863,106.71,190.71,3.291
Imidacloprid,C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl,255.67,0.688,83.66,3,1,3,0.191,0.923,116.34,206.39,3.52
water,O,18.02,-0.825,31.5,0,0,0,0.352,0.648,9.83,19.95,0.317
MeOH,CO,32.04,-0.392,20.23,1,1,1,0.191,0.963,19.24,37.08,0.839
